source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource	pmid
SIRT1	Gene	ENTREZ:23411	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	17446436
SIRT1	Gene	ENTREZ:23411	keloid	Disease	MONDO:0005348	GNBR::D::Gene:Disease	FIBROAD	25707573
SIRT1	Gene	ENTREZ:23411	keloid	Disease	MONDO:0005348	GNBR::G::Gene:Disease	FIBROAD	25180292
SIRT2	Gene	ENTREZ:22933	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	28947430
SIRT2	Gene	ENTREZ:22933	Fibrosis	Disease	MESH:D005355	GNBR::D::Gene:Disease	FIBROAD	33754067
SIRT2	Gene	ENTREZ:22933	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	29440391
SIRT2	Gene	ENTREZ:22933	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	32565308
SIRT3	Gene	ENTREZ:23410	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	32296036
SIRT3	Gene	ENTREZ:23410	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	30056271
SIRT3	Gene	ENTREZ:23410	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	19652361
SIRT3	Gene	ENTREZ:23410	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	25962702
SIRT6	Gene	ENTREZ:51548	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	32535965
SIRT6	Gene	ENTREZ:51548	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	31787254
SIRT6	Gene	ENTREZ:51548	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	30943401
SIRT6	Gene	ENTREZ:51548	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	32701506
SIRT7	Gene	ENTREZ:51547	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	31735083
SIRT7	Gene	ENTREZ:51547	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	26202810
SIRT7	Gene	ENTREZ:51547	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	18239138
SIRT7	Gene	ENTREZ:51547	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	33558457
SMAD1	Gene	ENTREZ:4086	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	31127639
SMAD1	Gene	ENTREZ:4086	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	30424599
SMAD1	Gene	ENTREZ:4086	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	31364649
SMAD1	Gene	ENTREZ:4086	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	16447265
SMAD2	Gene	ENTREZ:4087	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	26435271
SMAD2	Gene	ENTREZ:4087	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	20595680
SMAD2	Gene	ENTREZ:4087	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	25041068
SMAD2	Gene	ENTREZ:4087	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	12039975
SMAD7	Gene	ENTREZ:4092	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	12039975
SMAD7	Gene	ENTREZ:4092	renal fibrosis	Disease	MONDO:0000494	GNBR::D::Gene:Disease	FIBROAD	23207693
SMAD7	Gene	ENTREZ:4092	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	12851882
SMAD7	Gene	ENTREZ:4092	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	11927620
SMAD3	Gene	ENTREZ:4088	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	28891814
SMAD3	Gene	ENTREZ:4088	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	20595680
SMAD3	Gene	ENTREZ:4088	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	25041068
SMAD3	Gene	ENTREZ:4088	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	28743805
SMAD4	Gene	ENTREZ:4089	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26221756
