source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		35396981	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		35218119	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		23535729	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		37300745	GNBR::Y::Gene:Disease	CBCG
BRCA2	Gene	Breast Cancer	Disease	ENTREZ:675		36356581	GNBR::Y::Gene:Disease	CBCG
BRD7	Gene	Breast Cancer	Disease	ENTREZ:29117		36424660	GNBR::Y::Gene:Disease	CBCG
BRIP1	Gene	Breast Cancer	Disease	ENTREZ:83990		17033622	GNBR::Y::Gene:Disease	CBCG
BTN2A1	Gene	Breast Cancer	Disease	ENTREZ:11120		36703164	GNBR::Y::Gene:Disease	CBCG
C11orf65	Gene	Breast Cancer	Disease	ENTREZ:160140		nan	GNBR::Y::Gene:Disease	CBCG
C11orf65	Gene	Breast Cancer	Disease	ENTREZ:160140		36161273	GNBR::Y::Gene:Disease	CBCG
CABLES1	Gene	Breast Cancer	Disease	ENTREZ:91768		nan	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		31996122	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		17529967	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		20453838	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		17529974	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		24743323	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		31338012	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		31996122	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		20332101	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		27117709	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		36540803	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		36042591	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		36356581	GNBR::Y::Gene:Disease	CBCG
CASC16	Gene	Breast Cancer	Disease	ENTREZ:643714		37524136	GNBR::Y::Gene:Disease	CBCG
CASC21	Gene	Breast Cancer	Disease	ENTREZ:103021164		17529967	GNBR::Y::Gene:Disease	CBCG
CASC21	Gene	Breast Cancer	Disease	ENTREZ:103021164		24743323	GNBR::Y::Gene:Disease	CBCG
CASC21	Gene	Breast Cancer	Disease	ENTREZ:103021164		20453838	GNBR::Y::Gene:Disease	CBCG
CASC8	Gene	Breast Cancer	Disease	ENTREZ:727677		17529967	GNBR::Y::Gene:Disease	CBCG
CASC8	Gene	Breast Cancer	Disease	ENTREZ:727677		24743323	GNBR::Y::Gene:Disease	CBCG
CASC8	Gene	Breast Cancer	Disease	ENTREZ:727677		20453838	GNBR::Y::Gene:Disease	CBCG
CASP8	Gene	Breast Cancer	Disease	ENTREZ:841		37016353	GNBR::Y::Gene:Disease	CBCG
CASP8	Gene	Breast Cancer	Disease	ENTREZ:841		37016353	GNBR::Y::Gene:Disease	CBCG
CASP8	Gene	Breast Cancer	Disease	ENTREZ:841		37016353	GNBR::Y::Gene:Disease	CBCG
CASP8	Gene	Breast Cancer	Disease	ENTREZ:841		37016353	GNBR::Y::Gene:Disease	CBCG
CASP8	Gene	Breast Cancer	Disease	ENTREZ:841		36356581	GNBR::Y::Gene:Disease	CBCG
CBFA2T3	Gene	Breast Cancer	Disease	ENTREZ:863		36424660	GNBR::Y::Gene:Disease	CBCG
CCDC170	Gene	Breast Cancer	Disease	ENTREZ:80129		27117709	GNBR::Y::Gene:Disease	CBCG
CCDC170	Gene	Breast Cancer	Disease	ENTREZ:80129		20453838	GNBR::Y::Gene:Disease	CBCG
