drugbank_id	status	valid
DB00465	{'approved'}	True
DB00466	{'experimental'}	True
DB00467	{'approved', 'investigational'}	True
DB00468	{'approved'}	True
DB00469	{'approved'}	True
DB00470	{'approved', 'illicit'}	True
DB00471	{'approved'}	True
DB00472	{'approved', 'vet_approved'}	True
DB00473	{'approved', 'withdrawn'}	True
DB00474	{'approved'}	True
DB00475	{'approved', 'illicit', 'investigational'}	True
DB00476	{'approved'}	True
DB00477	{'approved', 'vet_approved', 'investigational'}	True
DB00478	{'approved', 'investigational'}	True
DB00479	{'approved', 'vet_approved', 'investigational'}	True
DB00480	{'approved'}	True
DB00481	{'approved', 'investigational'}	True
DB00482	{'approved', 'investigational'}	True
DB00483	{'approved'}	True
DB00484	{'approved'}	True
DB00485	{'approved', 'vet_approved', 'investigational'}	True
DB00486	{'approved', 'investigational'}	True
DB00487	{'approved'}	True
DB00488	{'approved'}	True
DB00489	{'approved'}	True
DB00490	{'approved', 'investigational'}	True
DB00491	{'approved'}	True
DB00492	{'approved'}	True
DB00493	{'approved'}	True
DB00494	{'approved', 'investigational'}	True
DB00495	{'approved'}	True
DB00496	{'approved', 'investigational'}	True
DB00497	{'approved', 'illicit', 'investigational'}	True
DB00498	{'approved', 'investigational'}	True
DB00499	{'approved', 'investigational'}	True
DB00500	{'approved'}	True
DB00501	{'approved', 'investigational'}	True
DB00502	{'approved'}	True
DB00503	{'approved', 'investigational'}	True
DB00504	{'approved'}	True
DB00505	{'withdrawn'}	True
DB00507	{'approved', 'vet_approved', 'investigational'}	True
DB00508	{'approved', 'vet_approved'}	True
DB00509	{'approved', 'investigational'}	True
DB00511	{'approved'}	True
DB00512	{'approved'}	True
DB00513	{'approved', 'investigational'}	True
DB00514	{'approved'}	True
DB00515	{'approved'}	True
DB00516	{'approved'}	True
DB00517	{'approved'}	True
DB00518	{'approved', 'vet_approved'}	True
DB00519	{'approved'}	True
DB00520	{'approved'}	True
DB00521	{'approved'}	True
DB00522	{'withdrawn', 'investigational'}	True
DB00523	{'approved', 'investigational'}	True
DB00524	{'approved'}	True
DB00525	{'approved', 'vet_approved', 'investigational'}	True
DB00526	{'approved', 'investigational'}	True
DB00527	{'approved', 'vet_approved'}	True
DB00528	{'approved', 'investigational'}	True
DB00529	{'approved'}	True
DB00530	{'approved', 'investigational'}	True
DB00531	{'approved', 'investigational'}	True
DB00532	{'approved', 'withdrawn', 'investigational'}	True
DB00533	{'approved', 'withdrawn', 'investigational'}	True
DB00534	{'approved', 'withdrawn'}	True
DB00535	{'approved'}	True
DB00536	{'approved'}	True
DB00537	{'approved', 'investigational'}	True
DB00538	{'approved', 'investigational'}	True
DB00539	{'approved', 'investigational'}	True
DB00540	{'approved'}	True
DB00541	{'approved', 'investigational'}	True
DB00542	{'approved', 'investigational'}	True
DB00543	{'approved'}	True
DB00544	{'approved'}	True
DB00545	{'approved', 'investigational'}	True
DB00546	{'experimental'}	True
DB00547	{'approved'}	True
DB00548	{'approved'}	True
DB00549	{'approved', 'investigational'}	True
DB00550	{'approved', 'investigational'}	True
DB00551	{'approved'}	True
DB00552	{'approved', 'investigational'}	True
DB00553	{'approved'}	True
DB00554	{'approved', 'investigational'}	True
DB00555	{'approved', 'investigational'}	True
DB00556	{'approved'}	True
DB00557	{'approved'}	True
DB00558	{'approved', 'investigational'}	True
DB00559	{'approved', 'investigational'}	True
DB00560	{'approved'}	True
DB00561	{'approved', 'vet_approved'}	True
DB00562	{'approved'}	True
DB00563	{'approved'}	True
DB00564	{'approved', 'investigational'}	True
DB00565	{'approved', 'investigational'}	True
DB00566	{'approved'}	True
