source_name	source_type	target_name	target_type	source_id	target_id	relation_type	resource
PFKP	Gene	IPF	Disease	ENTREZ:5214	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SFTPC	Gene	IPF	Disease	ENTREZ:6440	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PITRM1	Gene	IPF	Disease	ENTREZ:10531	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AKR1C2	Gene	IPF	Disease	ENTREZ:1646	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TRAJ42	Gene	IPF	Disease	ENTREZ:28713	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PFDN4	Gene	IPF	Disease	ENTREZ:5203	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PPP3CC	Gene	IPF	Disease	ENTREZ:5533	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
STS	Gene	IPF	Disease	ENTREZ:412	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
NEFM	Gene	IPF	Disease	ENTREZ:4741	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ALDH1B1	Gene	IPF	Disease	ENTREZ:219	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CLU	Gene	IPF	Disease	ENTREZ:1191	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LAMA5	Gene	IPF	Disease	ENTREZ:3911	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
DIDO1	Gene	IPF	Disease	ENTREZ:11083	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PGM5	Gene	IPF	Disease	ENTREZ:5239	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
GCHFR	Gene	IPF	Disease	ENTREZ:2644	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SMS	Gene	IPF	Disease	ENTREZ:6611	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SPTBN5	Gene	IPF	Disease	ENTREZ:51332	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
GNAQ	Gene	IPF	Disease	ENTREZ:2776	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
TXNDC5	Gene	IPF	Disease	ENTREZ:81567	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
JCAD	Gene	IPF	Disease	ENTREZ:57608	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
CLEC14A	Gene	IPF	Disease	ENTREZ:161198	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ITGB1	Gene	IPF	Disease	ENTREZ:3688	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PGM2	Gene	IPF	Disease	ENTREZ:55276	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AZU1	Gene	IPF	Disease	ENTREZ:566	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PRTN3	Gene	IPF	Disease	ENTREZ:5657	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
FBP2	Gene	IPF	Disease	ENTREZ:8789	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CYCS	Gene	IPF	Disease	ENTREZ:54205	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
UBE2K	Gene	IPF	Disease	ENTREZ:3093	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PYGL	Gene	IPF	Disease	ENTREZ:5836	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ANP32B	Gene	IPF	Disease	ENTREZ:10541	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
NANS	Gene	IPF	Disease	ENTREZ:54187	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TBC1D2	Gene	IPF	Disease	ENTREZ:55357	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CARMIL1	Gene	IPF	Disease	ENTREZ:55604	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
COL15A1	Gene	IPF	Disease	ENTREZ:1306	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SEC61B	Gene	IPF	Disease	ENTREZ:10952	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
GGCT	Gene	IPF	Disease	ENTREZ:79017	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
GDF10	Gene	IPF	Disease	ENTREZ:2662	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LSM7	Gene	IPF	Disease	ENTREZ:51690	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RPS20	Gene	IPF	Disease	ENTREZ:6224	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PTBP3	Gene	IPF	Disease	ENTREZ:9991	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
THOP1	Gene	IPF	Disease	ENTREZ:7064	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AMBP	Gene	IPF	Disease	ENTREZ:259	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
GNA11	Gene	IPF	Disease	ENTREZ:2767	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
RALA	Gene	IPF	Disease	ENTREZ:5898	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
BASP1	Gene	IPF	Disease	ENTREZ:10409	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
EEF2	Gene	IPF	Disease	ENTREZ:1938	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ALDH1A2	Gene	IPF	Disease	ENTREZ:8854	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TARS1	Gene	IPF	Disease	ENTREZ:6897	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
MYDGF	Gene	IPF	Disease	ENTREZ:56005	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
UBA6	Gene	IPF	Disease	ENTREZ:55236	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PLIN3	Gene	IPF	Disease	ENTREZ:10226	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RPL35	Gene	IPF	Disease	ENTREZ:11224	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
GAPDH	Gene	IPF	Disease	ENTREZ:2597	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
RPL36	Gene	IPF	Disease	ENTREZ:25873	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
JCHAIN	Gene	IPF	Disease	ENTREZ:3512	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
VSIG4	Gene	IPF	Disease	ENTREZ:11326	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
GRSF1	Gene	IPF	Disease	ENTREZ:2926	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
MOB1B	Gene	IPF	Disease	ENTREZ:92597	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CARHSP1	Gene	IPF	Disease	ENTREZ:23589	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ACTN1	Gene	IPF	Disease	ENTREZ:87	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CAPS	Gene	IPF	Disease	ENTREZ:828	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
TSPAN15	Gene	IPF	Disease	ENTREZ:23555	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
EMP2	Gene	IPF	Disease	ENTREZ:2013	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PPBP	Gene	IPF	Disease	ENTREZ:5473	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
DDX39B	Gene	IPF	Disease	ENTREZ:7919	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CPPED1	Gene	IPF	Disease	ENTREZ:55313	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PPIB	Gene	IPF	Disease	ENTREZ:5479	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
AIFM2	Gene	IPF	Disease	ENTREZ:84883	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PPA1	Gene	IPF	Disease	ENTREZ:5464	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
STBD1	Gene	IPF	Disease	ENTREZ:8987	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
APOM	Gene	IPF	Disease	ENTREZ:55937	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
TPI1	Gene	IPF	Disease	ENTREZ:7167	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ANXA3	Gene	IPF	Disease	ENTREZ:306	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
CHCHD2	Gene	IPF	Disease	ENTREZ:51142	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
MYH11	Gene	IPF	Disease	ENTREZ:4629	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ITGA1	Gene	IPF	Disease	ENTREZ:3672	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LSM2	Gene	IPF	Disease	ENTREZ:57819	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PGK1	Gene	IPF	Disease	ENTREZ:5230	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
ITGA2	Gene	IPF	Disease	ENTREZ:3673	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
MOCS2	Gene	IPF	Disease	ENTREZ:4338	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
