TTDDRUID	Drug_id
D03IKT	PUBCHEM:5875
D03IUY	PUBCHEM:5284555
D03JAA	PUBCHEM:9565
D03JSJ	PUBCHEM:446596
D03JTG	PUBCHEM:44480399
D03KEK	PUBCHEM:3765
D03KIA	PUBCHEM:446156
D03KOZ	PUBCHEM:1549120
D03KPZ	PUBCHEM:9961920
D03KQF	PUBCHEM:4011
D03KTD	PUBCHEM:656673
D03KUB	PUBCHEM:25077495
D03KXY	PUBCHEM:18343
D03KYG	PUBCHEM:107807
D03KZM	PUBCHEM:216237
D03LGG	PUBCHEM:1548942
D03LGY	PUBCHEM:23663956
D03LJR	PUBCHEM:5284616
D03LWG	PUBCHEM:53235510
D03MGL	PUBCHEM:24970412
D03MIR	PUBCHEM:3157
D03MNN	PUBCHEM:11341869
D03MZQ	PUBCHEM:159247
D03NHW	PUBCHEM:4583
D03NOS	PUBCHEM:36283
D03NPH	PUBCHEM:4999
D03NTJ	PUBCHEM:3388
D03OFF	PUBCHEM:4829
D03OIW	PUBCHEM:3830
D03PIR	PUBCHEM:65755
D03PTH	PUBCHEM:708857
D03QGM	PUBCHEM:5355
D03QIP	PUBCHEM:450601
D03QJL	PUBCHEM:3671
D03QRS	PUBCHEM:25074470
D03QWT	PUBCHEM:73303
D03RCJ	PUBCHEM:9020
D03ROX	PUBCHEM:2369
D03RTK	PUBCHEM:108150
D03RTS	PUBCHEM:2662
D03RZV	PUBCHEM:5504
D03SFU	PUBCHEM:36920
D03SKD	PUBCHEM:5284603
D03SKR	PUBCHEM:2803
D03SRY	PUBCHEM:259331
D03SSE	PUBCHEM:4033
D03SVX	PUBCHEM:5493444
D03SXE	PUBCHEM:16533
D03TGJ	PUBCHEM:5282192
D03TPR	PUBCHEM:23690433
D03TTQ	PUBCHEM:6296
D03TVW	PUBCHEM:54120
D03TYI	PUBCHEM:9433
D03UOT	PUBCHEM:785
D03UQM	PUBCHEM:6918462
D03UVS	PUBCHEM:60750
D03VDC	PUBCHEM:26924
D03VFL	PUBCHEM:9929901
D03VNJ	PUBCHEM:16129708
D03VPC	PUBCHEM:2754
D03VXJ	PUBCHEM:313
D03VZH	PUBCHEM:5281077
D03WAJ	PUBCHEM:10518
D03WEX	PUBCHEM:9966051
D03WLI	PUBCHEM:3053
D03WPA	PUBCHEM:62959
